projectId,region,projectManager,impact_category,process_name,score
P-SE-002,Southeast,Jane Smith,WC Insurance,clientHandover,11.01
P-SE-002,Southeast,Jane Smith,WC Insurance,finalDocumentation,3.87
P-SE-002,Southeast,Jane Smith,WC Insurance,financialReconciliation,4.64
P-SE-002,Southeast,Jane Smith,WC Insurance,punchlistCompletion,9.38
P-MW-003,Midwest,Mike Johnson,BR Insurance,clientHandover,11.87
P-MW-003,Midwest,Mike Johnson,BR Insurance,finalDocumentation,38.58
P-MW-003,Midwest,Mike Johnson,BR Insurance,financialReconciliation,12.6
P-MW-003,Midwest,Mike Johnson,BR Insurance,punchlistCompletion,20.35
P-MW-003,Midwest,Mike Johnson,CA Insurance,clientHandover,40.91
P-MW-003,Midwest,Mike Johnson,CA Insurance,finalDocumentation,27.45
P-MW-003,Midwest,Mike Johnson,CA Insurance,financialReconciliation,28.38
P-MW-003,Midwest,Mike Johnson,CA Insurance,punchlistCompletion,15.51
P-MW-003,Midwest,Mike Johnson,Cost,clientHandover,34.38
P-MW-003,Midwest,Mike Johnson,Cost,finalDocumentation,46.58
P-MW-003,Midwest,Mike Johnson,Cost,financialReconciliation,29.28
P-MW-003,Midwest,Mike Johnson,Cost,punchlistCompletion,32.6
P-MW-003,Midwest,Mike Johnson,GL Insurance,clientHandover,47.72
P-MW-003,Midwest,Mike Johnson,GL Insurance,finalDocumentation,22.62
P-MW-003,Midwest,Mike Johnson,GL Insurance,financialReconciliation,18.44
P-MW-003,Midwest,Mike Johnson,GL Insurance,punchlistCompletion,20.71
P-MW-003,Midwest,Mike Johnson,Safety,clientHandover,2.22
P-MW-003,Midwest,Mike Johnson,Safety,finalDocumentation,33.03
P-MW-003,Midwest,Mike Johnson,Safety,financialReconciliation,9.7
P-MW-003,Midwest,Mike Johnson,Safety,punchlistCompletion,30.49
P-MW-003,Midwest,Mike Johnson,Schedule,clientHandover,16.18
P-MW-003,Midwest,Mike Johnson,Schedule,finalDocumentation,7.85
P-MW-003,Midwest,Mike Johnson,Schedule,financialReconciliation,7.54
P-MW-003,Midwest,Mike Johnson,Schedule,punchlistCompletion,30.17
P-MW-003,Midwest,Mike Johnson,WC Insurance,clientHandover,19.83
P-MW-003,Midwest,Mike Johnson,WC Insurance,finalDocumentation,39.05
P-MW-003,Midwest,Mike Johnson,WC Insurance,financialReconciliation,30.22
P-MW-003,Midwest,Mike Johnson,WC Insurance,punchlistCompletion,16.59
P-WE-004,West,Alice Brown,BR Insurance,clientHandover,14.48
P-WE-004,West,Alice Brown,BR Insurance,finalDocumentation,9.27
P-WE-004,West,Alice Brown,BR Insurance,financialReconciliation,4.46
P-WE-004,West,Alice Brown,BR Insurance,punchlistCompletion,20.87
P-WE-004,West,Alice Brown,CA Insurance,clientHandover,9.96
P-WE-004,West,Alice Brown,CA Insurance,finalDocumentation,16.43
P-WE-004,West,Alice Brown,CA Insurance,financialReconciliation,30.78
P-WE-004,West,Alice Brown,CA Insurance,punchlistCompletion,33.43
P-WE-004,West,Alice Brown,Cost,clientHandover,23.59
P-WE-004,West,Alice Brown,Cost,finalDocumentation,4.27
P-WE-004,West,Alice Brown,Cost,financialReconciliation,4.95
P-WE-004,West,Alice Brown,Cost,punchlistCompletion,2.7
P-WE-004,West,Alice Brown,GL Insurance,clientHandover,34.57
P-WE-004,West,Alice Brown,GL Insurance,finalDocumentation,39.85
P-WE-004,West,Alice Brown,GL Insurance,financialReconciliation,38.87
P-WE-004,West,Alice Brown,GL Insurance,punchlistCompletion,21.64
P-WE-004,West,Alice Brown,Safety,clientHandover,11.69
P-WE-004,West,Alice Brown,Safety,finalDocumentation,23.18
P-WE-004,West,Alice Brown,Safety,financialReconciliation,2.78
P-WE-004,West,Alice Brown,Safety,punchlistCompletion,12.82
P-WE-004,West,Alice Brown,Schedule,clientHandover,16.29
P-WE-004,West,Alice Brown,Schedule,finalDocumentation,12.98
P-WE-004,West,Alice Brown,Schedule,financialReconciliation,30.93
P-WE-004,West,Alice Brown,Schedule,punchlistCompletion,7.58
P-WE-004,West,Alice Brown,WC Insurance,clientHandover,18.72
P-WE-004,West,Alice Brown,WC Insurance,finalDocumentation,1.38
P-WE-004,West,Alice Brown,WC Insurance,financialReconciliation,23.5
P-WE-004,West,Alice Brown,WC Insurance,punchlistCompletion,24.78
P-NE-005,Northeast,John Doe,BR Insurance,clientHandover,25.44
P-NE-005,Northeast,John Doe,BR Insurance,finalDocumentation,41.12
P-NE-005,Northeast,John Doe,BR Insurance,financialReconciliation,9.43
P-NE-005,Northeast,John Doe,BR Insurance,punchlistCompletion,43.88
P-NE-005,Northeast,John Doe,CA Insurance,clientHandover,14.14
P-NE-005,Northeast,John Doe,CA Insurance,finalDocumentation,11.77
P-NE-005,Northeast,John Doe,CA Insurance,financialReconciliation,39.63
P-NE-005,Northeast,John Doe,CA Insurance,punchlistCompletion,39.42
P-NE-005,Northeast,John Doe,Cost,clientHandover,17.11
P-NE-005,Northeast,John Doe,Cost,finalDocumentation,22.94
P-NE-005,Northeast,John Doe,Cost,financialReconciliation,35.36
P-NE-005,Northeast,John Doe,Cost,punchlistCompletion,36.56
P-NE-005,Northeast,John Doe,GL Insurance,clientHandover,51.16
P-NE-005,Northeast,John Doe,GL Insurance,finalDocumentation,14.02
P-NE-005,Northeast,John Doe,GL Insurance,financialReconciliation,14.78
P-NE-005,Northeast,John Doe,GL Insurance,punchlistCompletion,26.97
P-NE-005,Northeast,John Doe,Safety,clientHandover,24.21
P-NE-005,Northeast,John Doe,Safety,finalDocumentation,33.5
P-NE-005,Northeast,John Doe,Safety,financialReconciliation,34.15
P-NE-005,Northeast,John Doe,Safety,punchlistCompletion,24.58
P-NE-005,Northeast,John Doe,Schedule,clientHandover,39.82
P-NE-005,Northeast,John Doe,Schedule,finalDocumentation,25.02
P-NE-005,Northeast,John Doe,Schedule,financialReconciliation,41.51
P-NE-005,Northeast,John Doe,Schedule,punchlistCompletion,12.15
P-NE-005,Northeast,John Doe,WC Insurance,clientHandover,10.32
P-NE-005,Northeast,John Doe,WC Insurance,finalDocumentation,43.15
P-NE-005,Northeast,John Doe,WC Insurance,financialReconciliation,20.3
P-NE-005,Northeast,John Doe,WC Insurance,punchlistCompletion,41.27
P-SE-006,Southeast,Jane Smith,BR Insurance,clientHandover,30.88
P-SE-006,Southeast,Jane Smith,BR Insurance,finalDocumentation,3.34
P-SE-006,Southeast,Jane Smith,BR Insurance,financialReconciliation,8.56
P-SE-006,Southeast,Jane Smith,BR Insurance,punchlistCompletion,21.83
P-SE-006,Southeast,Jane Smith,CA Insurance,clientHandover,25.08
P-SE-006,Southeast,Jane Smith,CA Insurance,finalDocumentation,31.95
P-SE-006,Southeast,Jane Smith,CA Insurance,financialReconciliation,9.57
P-SE-006,Southeast,Jane Smith,CA Insurance,punchlistCompletion,3.55
P-SE-006,Southeast,Jane Smith,Cost,clientHandover,28.74
P-SE-006,Southeast,Jane Smith,Cost,finalDocumentation,17.08
P-SE-006,Southeast,Jane Smith,Cost,financialReconciliation,21.49
P-SE-006,Southeast,Jane Smith,Cost,punchlistCompletion,9.05
P-SE-006,Southeast,Jane Smith,GL Insurance,clientHandover,10.99
P-SE-006,Southeast,Jane Smith,GL Insurance,finalDocumentation,19.52
P-SE-006,Southeast,Jane Smith,GL Insurance,financialReconciliation,6.84
P-SE-006,Southeast,Jane Smith,GL Insurance,punchlistCompletion,22.7
P-SE-006,Southeast,Jane Smith,Safety,clientHandover,20.5
P-SE-006,Southeast,Jane Smith,Safety,finalDocumentation,7.03
P-SE-006,Southeast,Jane Smith,Safety,financialReconciliation,30.85
P-SE-006,Southeast,Jane Smith,Safety,punchlistCompletion,10.35
P-SE-006,Southeast,Jane Smith,Schedule,clientHandover,28.92
P-SE-006,Southeast,Jane Smith,Schedule,finalDocumentation,16.21
P-SE-006,Southeast,Jane Smith,Schedule,financialReconciliation,9.48
P-SE-006,Southeast,Jane Smith,Schedule,punchlistCompletion,18.59
P-SE-006,Southeast,Jane Smith,WC Insurance,clientHandover,8.71
P-SE-006,Southeast,Jane Smith,WC Insurance,finalDocumentation,12.83
P-SE-006,Southeast,Jane Smith,WC Insurance,financialReconciliation,9.05
P-SE-006,Southeast,Jane Smith,WC Insurance,punchlistCompletion,21.59
P-NE-007,Northeast,John Doe,BR Insurance,clientHandover,30.14
P-NE-007,Northeast,John Doe,BR Insurance,finalDocumentation,26.61
P-NE-007,Northeast,John Doe,BR Insurance,financialReconciliation,35.88
P-NE-007,Northeast,John Doe,BR Insurance,punchlistCompletion,36.94
P-NE-007,Northeast,John Doe,CA Insurance,clientHandover,56.45
P-NE-007,Northeast,John Doe,CA Insurance,finalDocumentation,31.99
P-NE-007,Northeast,John Doe,CA Insurance,financialReconciliation,39.73
P-NE-007,Northeast,John Doe,CA Insurance,punchlistCompletion,58.93
P-NE-007,Northeast,John Doe,Cost,clientHandover,31.62
P-NE-007,Northeast,John Doe,Cost,finalDocumentation,42.91
P-NE-007,Northeast,John Doe,Cost,financialReconciliation,56.3
P-NE-007,Northeast,John Doe,Cost,punchlistCompletion,55.38
P-NE-007,Northeast,John Doe,GL Insurance,clientHandover,30.94
P-NE-007,Northeast,John Doe,GL Insurance,finalDocumentation,56.16
P-NE-007,Northeast,John Doe,GL Insurance,financialReconciliation,66.37
P-NE-007,Northeast,John Doe,GL Insurance,punchlistCompletion,53.93
P-NE-007,Northeast,John Doe,Safety,clientHandover,34.68
P-NE-007,Northeast,John Doe,Safety,finalDocumentation,19.88
P-NE-007,Northeast,John Doe,Safety,financialReconciliation,32.94
P-NE-007,Northeast,John Doe,Safety,punchlistCompletion,33.24
P-NE-007,Northeast,John Doe,Schedule,clientHandover,40.84
P-NE-007,Northeast,John Doe,Schedule,finalDocumentation,26.57
P-NE-007,Northeast,John Doe,Schedule,financialReconciliation,55.42
P-NE-007,Northeast,John Doe,Schedule,punchlistCompletion,23.29
P-NE-007,Northeast,John Doe,WC Insurance,clientHandover,30.95
P-NE-007,Northeast,John Doe,WC Insurance,finalDocumentation,37.1
P-NE-007,Northeast,John Doe,WC Insurance,financialReconciliation,55.47
P-NE-007,Northeast,John Doe,WC Insurance,punchlistCompletion,34.57
P-SE-008,Southeast,Jane Smith,BR Insurance,clientHandover,12.87
P-SE-008,Southeast,Jane Smith,BR Insurance,finalDocumentation,23.23
P-SE-008,Southeast,Jane Smith,BR Insurance,financialReconciliation,7.19
P-SE-008,Southeast,Jane Smith,BR Insurance,punchlistCompletion,29.74
P-SE-008,Southeast,Jane Smith,CA Insurance,clientHandover,33.92
P-SE-008,Southeast,Jane Smith,CA Insurance,finalDocumentation,42.75
P-SE-008,Southeast,Jane Smith,CA Insurance,financialReconciliation,25.69
P-SE-008,Southeast,Jane Smith,CA Insurance,punchlistCompletion,27.17
P-SE-008,Southeast,Jane Smith,Cost,clientHandover,12.65
P-SE-008,Southeast,Jane Smith,Cost,finalDocumentation,44.76
P-SE-008,Southeast,Jane Smith,Cost,financialReconciliation,39.95
P-SE-008,Southeast,Jane Smith,Cost,punchlistCompletion,43.05
P-SE-008,Southeast,Jane Smith,GL Insurance,clientHandover,40.36
P-SE-008,Southeast,Jane Smith,GL Insurance,finalDocumentation,24.16
P-SE-008,Southeast,Jane Smith,GL Insurance,financialReconciliation,19.61
P-SE-008,Southeast,Jane Smith,GL Insurance,punchlistCompletion,48.41
P-SE-008,Southeast,Jane Smith,Safety,clientHandover,3.17
P-SE-008,Southeast,Jane Smith,Safety,finalDocumentation,18.97
P-SE-008,Southeast,Jane Smith,Safety,financialReconciliation,15.84
P-SE-008,Southeast,Jane Smith,Safety,punchlistCompletion,8.91
P-SE-008,Southeast,Jane Smith,Schedule,clientHandover,33.61
P-SE-008,Southeast,Jane Smith,Schedule,finalDocumentation,22.46
P-SE-008,Southeast,Jane Smith,Schedule,financialReconciliation,39.97
P-SE-008,Southeast,Jane Smith,Schedule,punchlistCompletion,2.97
P-SE-008,Southeast,Jane Smith,WC Insurance,clientHandover,42.82
P-SE-008,Southeast,Jane Smith,WC Insurance,finalDocumentation,21.2
P-SE-008,Southeast,Jane Smith,WC Insurance,financialReconciliation,41.29
P-SE-008,Southeast,Jane Smith,WC Insurance,punchlistCompletion,19.92
P-MW-009,Midwest,Mike Johnson,BR Insurance,clientHandover,28.83
P-MW-009,Midwest,Mike Johnson,BR Insurance,finalDocumentation,21.17
P-MW-009,Midwest,Mike Johnson,BR Insurance,financialReconciliation,22.55
P-MW-009,Midwest,Mike Johnson,BR Insurance,punchlistCompletion,41.65
P-MW-009,Midwest,Mike Johnson,CA Insurance,clientHandover,46.07
P-MW-009,Midwest,Mike Johnson,CA Insurance,finalDocumentation,42.87
P-MW-009,Midwest,Mike Johnson,CA Insurance,financialReconciliation,28.65
P-MW-009,Midwest,Mike Johnson,CA Insurance,punchlistCompletion,28.0
P-MW-009,Midwest,Mike Johnson,Cost,clientHandover,25.43
P-MW-009,Midwest,Mike Johnson,Cost,finalDocumentation,24.3
P-MW-009,Midwest,Mike Johnson,Cost,financialReconciliation,21.2
P-MW-009,Midwest,Mike Johnson,Cost,punchlistCompletion,56.43
P-MW-009,Midwest,Mike Johnson,GL Insurance,clientHandover,45.78
P-MW-009,Midwest,Mike Johnson,GL Insurance,finalDocumentation,56.61
P-MW-009,Midwest,Mike Johnson,GL Insurance,financialReconciliation,44.78
P-MW-009,Midwest,Mike Johnson,GL Insurance,punchlistCompletion,30.85
P-MW-009,Midwest,Mike Johnson,Safety,clientHandover,14.8
P-MW-009,Midwest,Mike Johnson,Safety,finalDocumentation,33.8
P-MW-009,Midwest,Mike Johnson,Safety,financialReconciliation,19.41
P-MW-009,Midwest,Mike Johnson,Safety,punchlistCompletion,37.01
P-MW-009,Midwest,Mike Johnson,Schedule,clientHandover,46.11
P-MW-009,Midwest,Mike Johnson,Schedule,finalDocumentation,14.29
P-MW-009,Midwest,Mike Johnson,Schedule,financialReconciliation,32.11
P-MW-009,Midwest,Mike Johnson,Schedule,punchlistCompletion,35.37
P-MW-009,Midwest,Mike Johnson,WC Insurance,clientHandover,52.39
P-MW-009,Midwest,Mike Johnson,WC Insurance,finalDocumentation,31.77
P-MW-009,Midwest,Mike Johnson,WC Insurance,financialReconciliation,35.91
P-MW-009,Midwest,Mike Johnson,WC Insurance,punchlistCompletion,38.35
P-WE-010,West,Alice Brown,BR Insurance,clientHandover,5.27
P-WE-010,West,Alice Brown,BR Insurance,finalDocumentation,25.55
P-WE-010,West,Alice Brown,BR Insurance,financialReconciliation,5.97
P-WE-010,West,Alice Brown,BR Insurance,punchlistCompletion,35.74
P-WE-010,West,Alice Brown,CA Insurance,clientHandover,25.19
P-WE-010,West,Alice Brown,CA Insurance,finalDocumentation,5.28
P-WE-010,West,Alice Brown,CA Insurance,financialReconciliation,11.89
P-WE-010,West,Alice Brown,CA Insurance,punchlistCompletion,23.13
P-WE-010,West,Alice Brown,Cost,clientHandover,40.33
P-WE-010,West,Alice Brown,Cost,finalDocumentation,5.93
P-WE-010,West,Alice Brown,Cost,financialReconciliation,13.61
P-WE-010,West,Alice Brown,Cost,punchlistCompletion,11.53
P-WE-010,West,Alice Brown,GL Insurance,clientHandover,45.49
P-WE-010,West,Alice Brown,GL Insurance,finalDocumentation,39.35
P-WE-010,West,Alice Brown,GL Insurance,financialReconciliation,30.47
P-WE-010,West,Alice Brown,GL Insurance,punchlistCompletion,34.14
P-WE-010,West,Alice Brown,Safety,clientHandover,6.36
P-WE-010,West,Alice Brown,Safety,finalDocumentation,30.95
P-WE-010,West,Alice Brown,Safety,financialReconciliation,13.56
P-WE-010,West,Alice Brown,Safety,punchlistCompletion,30.9
P-WE-010,West,Alice Brown,Schedule,clientHandover,36.86
P-WE-010,West,Alice Brown,Schedule,finalDocumentation,3.61
P-WE-010,West,Alice Brown,Schedule,financialReconciliation,36.94
P-WE-010,West,Alice Brown,Schedule,punchlistCompletion,17.5
P-WE-010,West,Alice Brown,WC Insurance,clientHandover,12.68
P-WE-010,West,Alice Brown,WC Insurance,finalDocumentation,26.51
P-WE-010,West,Alice Brown,WC Insurance,financialReconciliation,32.87
P-WE-010,West,Alice Brown,WC Insurance,punchlistCompletion,1.31
P-NE-011,Northeast,John Doe,BR Insurance,clientHandover,44.3
P-NE-011,Northeast,John Doe,BR Insurance,finalDocumentation,57.16
P-NE-011,Northeast,John Doe,BR Insurance,financialReconciliation,54.38
P-NE-011,Northeast,John Doe,BR Insurance,punchlistCompletion,42.82
P-NE-011,Northeast,John Doe,CA Insurance,clientHandover,59.96
P-NE-011,Northeast,John Doe,CA Insurance,finalDocumentation,29.92
P-NE-011,Northeast,John Doe,CA Insurance,financialReconciliation,36.33
P-NE-011,Northeast,John Doe,CA Insurance,punchlistCompletion,29.1
P-NE-011,Northeast,John Doe,Cost,clientHandover,29.69
P-NE-011,Northeast,John Doe,Cost,finalDocumentation,45.54
P-NE-011,Northeast,John Doe,Cost,financialReconciliation,59.84
P-NE-011,Northeast,John Doe,Cost,punchlistCompletion,62.21
P-NE-011,Northeast,John Doe,GL Insurance,clientHandover,51.07
P-NE-011,Northeast,John Doe,GL Insurance,finalDocumentation,54.48
P-NE-011,Northeast,John Doe,GL Insurance,financialReconciliation,58.65
P-NE-011,Northeast,John Doe,GL Insurance,punchlistCompletion,39.48
P-NE-011,Northeast,John Doe,Safety,clientHandover,48.84
P-NE-011,Northeast,John Doe,Safety,finalDocumentation,34.94
P-NE-011,Northeast,John Doe,Safety,financialReconciliation,18.14
P-NE-011,Northeast,John Doe,Safety,punchlistCompletion,29.07
P-NE-011,Northeast,John Doe,Schedule,clientHandover,30.56
P-NE-011,Northeast,John Doe,Schedule,finalDocumentation,48.7
P-NE-011,Northeast,John Doe,Schedule,financialReconciliation,45.37
P-NE-011,Northeast,John Doe,Schedule,punchlistCompletion,28.14
P-NE-011,Northeast,John Doe,WC Insurance,clientHandover,58.32
P-NE-011,Northeast,John Doe,WC Insurance,finalDocumentation,40.11
P-NE-011,Northeast,John Doe,WC Insurance,financialReconciliation,26.01
P-NE-011,Northeast,John Doe,WC Insurance,punchlistCompletion,23.39
P-SE-012,Southeast,Jane Smith,BR Insurance,clientHandover,10.61
P-SE-012,Southeast,Jane Smith,BR Insurance,finalDocumentation,29.88
P-SE-012,Southeast,Jane Smith,BR Insurance,financialReconciliation,30.19
P-SE-012,Southeast,Jane Smith,BR Insurance,punchlistCompletion,32.11
P-SE-012,Southeast,Jane Smith,CA Insurance,clientHandover,34.49
P-SE-012,Southeast,Jane Smith,CA Insurance,finalDocumentation,31.71
P-SE-012,Southeast,Jane Smith,CA Insurance,financialReconciliation,35.01
P-SE-012,Southeast,Jane Smith,CA Insurance,punchlistCompletion,5.22
P-SE-012,Southeast,Jane Smith,Cost,clientHandover,37.37
P-SE-012,Southeast,Jane Smith,Cost,finalDocumentation,11.98
P-SE-012,Southeast,Jane Smith,Cost,financialReconciliation,33.2
P-SE-012,Southeast,Jane Smith,Cost,punchlistCompletion,6.11
P-SE-012,Southeast,Jane Smith,GL Insurance,clientHandover,40.26
P-SE-012,Southeast,Jane Smith,GL Insurance,finalDocumentation,39.58
P-SE-012,Southeast,Jane Smith,GL Insurance,financialReconciliation,37.43
P-SE-012,Southeast,Jane Smith,GL Insurance,punchlistCompletion,44.05
P-SE-012,Southeast,Jane Smith,Safety,clientHandover,31.69
P-SE-012,Southeast,Jane Smith,Safety,finalDocumentation,14.41
P-SE-012,Southeast,Jane Smith,Safety,financialReconciliation,6.1
P-SE-012,Southeast,Jane Smith,Safety,punchlistCompletion,21.48
P-SE-012,Southeast,Jane Smith,Schedule,clientHandover,8.35
P-SE-012,Southeast,Jane Smith,Schedule,finalDocumentation,28.86
P-SE-012,Southeast,Jane Smith,Schedule,financialReconciliation,32.46
P-SE-012,Southeast,Jane Smith,Schedule,punchlistCompletion,31.12
P-SE-012,Southeast,Jane Smith,WC Insurance,clientHandover,36.37
P-SE-012,Southeast,Jane Smith,WC Insurance,finalDocumentation,1.94
P-SE-012,Southeast,Jane Smith,WC Insurance,financialReconciliation,13.62
P-SE-012,Southeast,Jane Smith,WC Insurance,punchlistCompletion,28.99
P-MW-013,Midwest,Mike Johnson,BR Insurance,clientHandover,33.38
P-MW-013,Midwest,Mike Johnson,BR Insurance,finalDocumentation,54.5
P-MW-013,Midwest,Mike Johnson,BR Insurance,financialReconciliation,20.34
P-MW-013,Midwest,Mike Johnson,BR Insurance,punchlistCompletion,26.62
P-MW-013,Midwest,Mike Johnson,CA Insurance,clientHandover,39.46
P-MW-013,Midwest,Mike Johnson,CA Insurance,finalDocumentation,48.14
P-MW-013,Midwest,Mike Johnson,CA Insurance,financialReconciliation,43.25
P-MW-013,Midwest,Mike Johnson,CA Insurance,punchlistCompletion,31.55
P-MW-013,Midwest,Mike Johnson,Cost,clientHandover,28.73
P-MW-013,Midwest,Mike Johnson,Cost,finalDocumentation,52.81
P-MW-013,Midwest,Mike Johnson,Cost,financialReconciliation,21.95
P-MW-013,Midwest,Mike Johnson,Cost,punchlistCompletion,30.1
P-MW-013,Midwest,Mike Johnson,GL Insurance,clientHandover,45.45
P-MW-013,Midwest,Mike Johnson,GL Insurance,finalDocumentation,49.66
P-MW-013,Midwest,Mike Johnson,GL Insurance,financialReconciliation,63.25
P-MW-013,Midwest,Mike Johnson,GL Insurance,punchlistCompletion,39.99
P-MW-013,Midwest,Mike Johnson,Safety,clientHandover,24.16
P-MW-013,Midwest,Mike Johnson,Safety,finalDocumentation,26.13
P-MW-013,Midwest,Mike Johnson,Safety,financialReconciliation,51.68
P-MW-013,Midwest,Mike Johnson,Safety,punchlistCompletion,47.57
P-MW-013,Midwest,Mike Johnson,Schedule,clientHandover,27.21
P-MW-013,Midwest,Mike Johnson,Schedule,finalDocumentation,23.9
P-MW-013,Midwest,Mike Johnson,Schedule,financialReconciliation,33.41
P-MW-013,Midwest,Mike Johnson,Schedule,punchlistCompletion,47.66
P-MW-013,Midwest,Mike Johnson,WC Insurance,clientHandover,25.14
P-MW-013,Midwest,Mike Johnson,WC Insurance,finalDocumentation,55.57
P-MW-013,Midwest,Mike Johnson,WC Insurance,financialReconciliation,56.82
P-MW-013,Midwest,Mike Johnson,WC Insurance,punchlistCompletion,22.61
P-WE-014,West,Alice Brown,BR Insurance,clientHandover,13.61
P-WE-014,West,Alice Brown,BR Insurance,finalDocumentation,13.07
P-WE-014,West,Alice Brown,BR Insurance,financialReconciliation,4.82
P-WE-014,West,Alice Brown,BR Insurance,punchlistCompletion,9.87
P-WE-014,West,Alice Brown,CA Insurance,clientHandover,21.31
P-WE-014,West,Alice Brown,CA Insurance,finalDocumentation,32.03
P-WE-014,West,Alice Brown,CA Insurance,financialReconciliation,30.79
P-WE-014,West,Alice Brown,CA Insurance,punchlistCompletion,23.35
P-WE-014,West,Alice Brown,Cost,clientHandover,26.18
P-WE-014,West,Alice Brown,Cost,finalDocumentation,1.06
P-WE-014,West,Alice Brown,Cost,financialReconciliation,19.85
P-WE-014,West,Alice Brown,Cost,punchlistCompletion,33.4
P-WE-014,West,Alice Brown,GL Insurance,clientHandover,33.22
P-WE-014,West,Alice Brown,GL Insurance,finalDocumentation,26.24
P-WE-014,West,Alice Brown,GL Insurance,financialReconciliation,12.93
P-WE-014,West,Alice Brown,GL Insurance,punchlistCompletion,13.55
P-WE-014,West,Alice Brown,Safety,clientHandover,2.89
P-WE-014,West,Alice Brown,Safety,finalDocumentation,21.03
P-WE-014,West,Alice Brown,Safety,financialReconciliation,10.83
P-WE-014,West,Alice Brown,Safety,punchlistCompletion,19.11
P-WE-014,West,Alice Brown,Schedule,clientHandover,21.55
P-WE-014,West,Alice Brown,Schedule,finalDocumentation,12.17
P-WE-014,West,Alice Brown,Schedule,financialReconciliation,8.39
P-WE-014,West,Alice Brown,Schedule,punchlistCompletion,17.72
P-WE-014,West,Alice Brown,WC Insurance,clientHandover,14.07
P-WE-014,West,Alice Brown,WC Insurance,finalDocumentation,24.03
P-WE-014,West,Alice Brown,WC Insurance,financialReconciliation,10.9
